,doc_id,doc_x,doc_y,genre
9789403174006,9789403174006,9.514103,5.1562977,"translated literary novel, novella"
9789044971095,9789044971095,11.890806,11.460766,popular fiction general
9789402502138,9789402502138,9.185137,7.201817,romance
9789021444505,9789021444505,10.035789,4.3510447,"Dutch literary novel, novella"
9789402527681,9789402527681,5.8998446,13.857099,romance
9789461709158,9789461709158,7.0427766,11.208897,romance
9789402525595,9789402525595,10.424633,13.628517,romance
9789044632330,9789044632330,11.009191,8.1186495,unknown
9789044963113,9789044963113,8.970047,8.477629,thriller
9789403162508,9789403162508,12.042441,5.260278,"Dutch literary novel, novella"
9789402754988,9789402754988,8.752509,13.06605,romance
9789025863401,9789025863401,9.540026,4.791664,"Dutch literary novel, novella"
9789044640342,9789044640342,13.093272,7.0793242,unknown
9789025856960,9789025856960,14.889743,6.608571,unknown
9789025856830,9789025856830,13.396178,6.0070047,unknown
9789044640212,9789044640212,12.276363,6.019431,unknown
9789461709912,9789461709912,8.4293375,15.674059,romance
9789402533026,9789402533026,5.5071836,14.372866,romance
9789025865559,9789025865559,7.0849085,14.912061,unknown
